Status,Sigla,Estação,UF,Proprietário,Vínculo,Acesso aos Dados,Início,Fim,Tipo,ID,Latitude,,Longitude,,Alt.(m),Web,Observação
1. Ativa,BRB,Brasília ,DF , SONDA,Própria,Público,06/2004,,AR,10,-15.601,"15° 36' 03"" S ",-47.713,"47° 42' 47"" O ",1023,Sim,
1. Ativa,CPA,Cachoeira Paulista ,SP , SONDA,Própria,Público,03/2014,,R,30,-22.690,"22° 41' 22.65"" S ",-45.006,"45° 00' 22.28"" O ",574,Sim,
1. Ativa,CGR,Campo Grande Fazenda,MS , SONDA,Própria,Público,10/2021,,R,12,-20.447,"20° 26' 48.6"" S",-54.839," 54° 50' 20.9"" O",415,Sim,
1. Ativa,NAT,Natal ,RN , SONDA,Própria,Público,07/2007,,R,17,-5.837,"05° 50' 12"" S ",-35.206,"35° 12' 23"" O ",58,Sim,
1. Ativa,ORN,Ourinhos ,SP , SONDA,Própria,Público,09/2015,,AR,28,-23.000,"23° 00' 00.0"" S",-49.844," 49° 50' 39.0"" O",507,Sim,
1. Ativa,PMA,Palmas ,TO , SONDA,Própria,Público,04/2005,,R,19,-10.178,"10° 10' 40"" S ",-48.362,"48° 21' 43"" O ",216,Sim,
1. Ativa,PTR,Petrolina ,PE , SONDA,Própria,Público,07/2004,,AR,11,-9.069,"09° 04' 8.76"" S ",-40.320,"40° 19' 12.9"" O ",387,Sim,
1. Ativa,STM,Santarém ,PA, SONDA,Própria,Público,10/2020,,R,29,-2.683,"2° 41' 01.0"" S",-54.535," 54° 32' 06.4"" O",75,Não,
1. Ativa,SMS,São Martinho da Serra ,RS , SONDA,Própria,Público,01/2004,,AR,8,-29.443,"29° 26' 34"" S ",-53.823,"53° 49' 23"" O ",489,Sim,
2. Ativa Parceira,CMS,Campo Mourão ,SC ,UTFPR,Parceira,Público,01/2020,,R,62,-24.061,"24° 03' 41.3"" S",-52.385," 52° 23' 05.1"" O",580,Sim,
2. Ativa Parceira,CTS,Curitiba ,SC ,UTFPR,Parceira,Público,01/2020,,R,61,-25.508,"25°30'27.7"" S",-49.319,"49°19'07.4"" O",900,Sim,
2. Ativa Parceira,FLN,Florianópolis BSRN,SC ,UFSC/LEPTEN,Parceira,Público,01/2004,,R,1,-27.602,27° 36' 6.1” S,-48.518,48° 31' 1.9” O,31,Sim,
2. Ativa Parceira,SPK,Florianópolis Sapiens,SC ,UFSC/FOTOVOLTAICA,Parceira,Público,01/2018,,R,7,-27.431,"27° 25' 50.5"" S",-48.441," 48° 26' 28.8"" O",15,Sim,
2. Ativa Parceira,MDS,Medianeira ,SC ,UTFPR,Parceira,Público,01/2020,,R,63,-25.300,"25° 17' 59.4"" S",-54.115," 54° 06' 52.4"" O",420,Sim,
5. Inativa,SCR,São João do Cariri ,PB , SONDA,Própria,Público,06/2004,10/2009,A,25,-7.382,"07° 22' 54"" S ",-36.527,"36° 31' 38"" O ",486,Sim,
5. Inativa,SLZ,São Luiz ,MA , SONDA,Própria,Público,02/2005,02/2023,R,16,-2.593,"02° 35' 36"" S ",-44.212,"44° 12' 44"" O ",40,Sim,
5. Inativa,TRI,Triunfo ,PE , SONDA,Própria,Público,07/2004,04/2007,A,23,-7.827,"07° 49' 38"" S ",-38.122,"38° 07' 20"" O ",1123,Sim,
6. Desativada,BAB,Balbina ,AM ,,,Público,04/2004,02/2006,R,3,-1.931,"01° 55' 52"" S ",-59.420,"59° 25' 11"" O ",230,Não,
6. Desativada,BJD,Belo Jardim ,PE , SONDA,Própria,Público,06/2004,08/2005,A,22,-8.368,"08° 22' 03"" S ",-36.429,"36° 25' 46"" O ",718,Sim,
6. Desativada,BJL,Bom Jesus da Lapa ,BA, PETROBRAS,Parceria,Privado,06/2014,06/2016,R,47,-13.234,13° 14' 0.42” S,-43.376,43° 22” 33.70” O,447,Sim,
6. Desativada,CAI,Caicó ,RN , SONDA,Própria,Público,10/2002,08/2022,R,20,-6.467,"06° 28' 01"" S ",-37.085,"37° 05' 05"" O ",176,Sim,
6. Desativada,CGR*,Campo Grande Unir,MS , SONDA,Própria,Público,02/2004,08/2016,R,12,-20.438,"20° 26' 18"" S ",-54.538,"54° 32' 18"" O ",677,Sim,
6. Desativada,CPN,Campos Novos ,SC , EPAGRI,Parceria,Público,05/2006,10/2007,AR,13,-27.540,27° 32' 23'' S,-51.415,51° 24' 54'' O,725,Não,
6. Desativada,CHP,Chapecó ,SC , EPAGRI,Parceria,Público,04/2005,02/2010,R,6,-27.080,"27° 04' 48"" S ",-52.614,"52° 36' 52"" O ",700,Sim,
6. Desativada,CBA,Cuiabá ,MT , SONDA,Própria,Público,01/2004,12/2012,R,21,-15.555,"15° 33' 19"" S ",-56.070,"56° 04' 12"" O ",185,Sim,
6. Desativada,CTB,Curitiba ,PR, TECPAR,Parceria,Público,09/2014,10/2015,R,60,-25.495,"25º 29' 43,60'' S",-49.331,"49º 19' 52,35'' O",891,Sim,
6. Desativada,JOI,Joinville ,SC , UNIVILLE,Parceria,Público,04/2004,10/2015,R,4,-26.253,"26° 15' 09"" S ",-48.858,"48° 51' 28"" O ",48,Sim,
6. Desativada,LEB,Lebon Regis ,SC , EPAGRI,Parceria,Público,05/2004,08/2008,R,2,-26.989,"26° 59' 19"" S ",-50.715,"50° 42' 54"" O ",1036,Não,
6. Desativada,MCL,Montes Claros ,MG, PETROBRAS,Parceria,Privado,06/2012,06/2015,R,45,-16.686,"16° 41' 11.04"" S",-43.869,"43° 52' 7.57"" O",675,Sim,
6. Desativada,ORN*,Ourinhos Centro,SP , SONDA,Própria,Público,02/2006,03/2011,AR,28,-22.949,22° 56’ 55” S ,-49.894,49° 53’ 39” O ,446,Sim,
6. Desativada,OPO,Ouro Preto d'Oeste ,RO , SONDA,Própria,Público,03/2004,09/2005,AR,9,-10.881,"10° 52' 53"" S ",-61.970,"61° 58' 13"" O ",200,Não,
6. Desativada,PIR,Piranhas ,PE , SONDA,Própria,Público,02/2004,05/2004,A,26,-9.618,"09° 37' 05"" S ",-37.779,"37° 46' 43"" O ",203,Não,
6. Desativada,RLM,Rolim de Moura ,RO , SONDA,Própria,Público,12/2005,10/2009,R,27,-11.582,"11° 34' 54"" S ",-61.774,"61° 46' 25"" O ",252,Sim,
6. Desativada,SBR,Sombrio ,SC , EPAGRI,Parceria,Público,01/2004,09/2016,R,5,-29.096,"29° 05' 44"" S ",-49.813,"49° 48' 48"" O ",15,Sim,
6. Desativada,TMA,Termoaçu ,RN , PETROBRAS,Parceria,Privado,11/2010,05/2015,R,44,-5.383,"5° 22' 58.33"" S",-36.819,"36° 49' 08.76"" O",24,Sim,
6. Desativada,TLG,Três Lagoas ,MS , PETROBRAS,Parceria,Privado,01/2015,06/2016,R,48,-20.751,"20° 45' 02.5"" S ",-51.664,"51° 39' 51.1"" O ",317,Não,
6. Desativada,UBE,Uberaba ,MG, PETROBRAS,Parceria,Privado,04/2013,12/2015,R,46,-19.998,19° 59' 52.99” S,-47.900,47° 54' 0.59” O,513,Sim,
,,,,,,,,,,,,,,,,,
,,,,,,,1. Ativa,1. Ativa," = em operação, coletando dados",,,,,,,,
,,,,,,,2. Ativa Parceira,2. Ativa Parceira," = em operação, coletando dados pelo parceiro",,,,A =,anemométrica,,,
,,,,,,,3. A instalar,3. A instalar, = aguardando instalação,,,,R =,radiométrica,,,
,,,,,,,4. Candidata,4. Candidata, = em negociação para possível instalação,,,,AR =,anemométrica e radiométrica,,,
,,,,,,,5. Inativa,5. Inativa," = inoperante, sem coleta de dados",,,,,,,,
,,,,,,,6. Desativada,6. Desativada," = desmontada, equipamentos realocados ou roubados",,,,,,,,